repo,url,description,category,priority,why,stars,forks,openIssues,language,license,licenseReviewRequired,createdAt,updatedAt,pushedAt,defaultBranch,archived,fork,starThreshold,meetsStarThreshold,strategicException
coze-dev/coze-studio,https://github.com/coze-dev/coze-studio,"An AI agent development platform with all-in-one visual tools, simplifying agent creation, debugging, and deployment like never before. Coze your way to AI Agent creation.",agent-builder,watch,All-in-one visual agent development platform.,21185,3083,532,TypeScript,Apache-2.0,False,2025-06-26T02:19:21Z,2026-07-17T17:22:53Z,2026-04-20T09:20:44Z,main,False,False,10000,True,False
labring/FastGPT,https://github.com/labring/FastGPT,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",agent-builder,watch,"Knowledge, RAG and visual workflow platform.",29014,7223,158,TypeScript,NOASSERTION,True,2023-02-23T16:53:25Z,2026-07-17T17:22:17Z,2026-07-17T11:34:16Z,main,False,False,10000,True,False
1Panel-dev/MaxKB,https://github.com/1Panel-dev/MaxKB,🔥 MaxKB is an open-source platform for building enterprise-grade agents.  强大易用的开源企业级智能体平台。,agent-builder,watch,Enterprise agent builder.,22117,3005,47,Python,GPL-3.0,False,2023-09-14T02:05:12Z,2026-07-17T19:01:01Z,2026-07-17T10:16:51Z,v2,False,False,10000,True,False
a2aproject/A2A,https://github.com/a2aproject/A2A,Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.,protocol,adopt-standard,Agent-to-agent interoperability protocol.,24837,2514,223,Shell,Apache-2.0,False,2025-03-25T18:44:21Z,2026-07-17T17:48:56Z,2026-07-17T17:29:34Z,main,False,False,10000,True,False
agentskills/agentskills,https://github.com/agentskills/agentskills,Specification and documentation for Agent Skills,protocol,adopt-standard,Portable Agent Skills specification.,23140,1530,46,Python,Apache-2.0,False,2025-12-16T15:47:19Z,2026-07-17T18:51:22Z,2026-07-10T00:11:48Z,main,False,False,10000,True,False
agentsmd/agents.md,https://github.com/agentsmd/agents.md,"AGENTS.md — a simple, open format for guiding coding agents",protocol,adopt-standard,Portable repository guidance format for coding agents.,23069,1714,158,TypeScript,MIT,False,2025-08-19T17:22:54Z,2026-07-17T19:21:55Z,2026-03-12T14:26:14Z,main,False,False,10000,True,False
ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,AG-UI: the Agent-User Interaction Protocol. Bring Agents into Frontend Applications.,protocol,evaluate,Agent-to-frontend interaction protocol.,14789,1344,273,TypeScript,MIT,False,2025-05-07T12:49:37Z,2026-07-17T19:18:11Z,2026-07-17T18:41:34Z,main,False,False,10000,True,False
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,protocol,adopt-standard,Reference MCP servers and ecosystem signal.,88587,11237,668,TypeScript,NOASSERTION,True,2024-11-19T01:10:17Z,2026-07-17T18:58:14Z,2026-07-10T03:30:19Z,main,False,False,10000,True,False
mcp-use/mcp-use,https://github.com/mcp-use/mcp-use,The fullstack MCP framework to develop MCP Apps for ChatGPT / Claude & MCP Servers for AI Agents.,protocol,evaluate,Full-stack MCP application and server framework.,10326,1370,116,TypeScript,MIT,False,2025-03-28T10:06:31Z,2026-07-17T17:26:00Z,2026-07-17T19:25:38Z,main,False,False,10000,True,False
ComposioHQ/composio,https://github.com/ComposioHQ/composio,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",tools-integration,evaluate,"Large authenticated tool catalog, search and sandboxed workbench.",29269,4663,87,TypeScript,MIT,False,2024-02-23T13:58:27Z,2026-07-17T17:15:36Z,2026-07-17T18:16:11Z,next,False,False,10000,True,False
ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,tools-integration,adopt-adjacent,Browser diagnostics and automation for coding agents.,47095,3137,107,TypeScript,Apache-2.0,False,2025-09-11T10:39:55Z,2026-07-17T19:12:36Z,2026-07-17T09:11:43Z,main,False,False,10000,True,False
oraios/serena,https://github.com/oraios/serena,"A powerful MCP toolkit for coding, providing semantic retrieval and editing capabilities  - the IDE for your agent",tools-integration,evaluate,Semantic code retrieval/editing MCP toolkit.,26550,1761,107,Python,MIT,False,2025-03-23T22:35:24Z,2026-07-17T19:07:01Z,2026-07-17T15:45:09Z,main,False,False,10000,True,False
googleapis/mcp-toolbox,https://github.com/googleapis/mcp-toolbox,MCP Toolbox for Databases is an open source MCP server for databases.,tools-integration,evaluate,Database MCP server and governance patterns.,15970,1640,246,Go,Apache-2.0,False,2024-06-07T20:52:54Z,2026-07-17T16:38:04Z,2026-07-17T19:24:26Z,main,False,False,10000,True,False
vercel-labs/skills,https://github.com/vercel-labs/skills,The open agent skills tool - npx skills,protocol,evaluate,Open skill installer and distribution conventions.,26420,2215,900,TypeScript,NOASSERTION,True,2026-01-14T21:31:18Z,2026-07-17T18:43:06Z,2026-07-16T17:53:59Z,main,False,False,10000,True,False
PrefectHQ/fastmcp,https://github.com/PrefectHQ/fastmcp,"🚀 The fast, Pythonic way to build MCP servers and clients.",protocol,adopt-standard,High-level Python framework for MCP servers and clients.,26242,2138,293,Python,Apache-2.0,False,2024-11-30T01:47:40Z,2026-07-17T17:04:19Z,2026-07-16T20:09:02Z,main,False,False,10000,True,False
modelcontextprotocol/python-sdk,https://github.com/modelcontextprotocol/python-sdk,The official Python SDK for Model Context Protocol servers and clients,protocol,adopt-standard,Official Python MCP SDK.,23644,3656,559,Python,MIT,False,2024-09-24T21:01:35Z,2026-07-17T19:05:04Z,2026-07-17T13:21:15Z,main,False,False,10000,True,False
modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk,The official TypeScript SDK for Model Context Protocol servers and clients,protocol,adopt-standard,Official TypeScript MCP SDK.,12877,1989,464,TypeScript,NOASSERTION,True,2024-09-24T20:45:31Z,2026-07-17T18:19:49Z,2026-07-17T17:48:01Z,main,False,False,10000,True,False
github/github-mcp-server,https://github.com/github/github-mcp-server,GitHub's official MCP Server,tools-integration,adopt-adjacent,Official GitHub MCP server for repository and delivery operations.,31517,4593,330,Go,MIT,False,2025-03-04T16:42:04Z,2026-07-17T19:10:31Z,2026-07-16T14:49:31Z,main,False,False,10000,True,False
mem0ai/mem0,https://github.com/mem0ai/mem0,Universal memory layer for AI Agents,memory,evaluate,General agent memory layer.,61071,7105,615,TypeScript,Apache-2.0,False,2023-06-20T08:58:36Z,2026-07-17T19:30:37Z,2026-07-17T15:15:58Z,main,False,False,10000,True,False
letta-ai/letta,https://github.com/letta-ai/letta,Platform for stateful agents: AI with advanced memory that can learn and self-improve over time.,memory,evaluate,Stateful agents and memory architecture.,23831,2530,49,Python,Apache-2.0,False,2023-10-11T07:38:37Z,2026-07-17T09:58:12Z,2026-07-03T18:53:41Z,main,False,False,10000,True,False
getzep/graphiti,https://github.com/getzep/graphiti,Build Real-Time Knowledge Graphs for AI Agents,knowledge-graph,pilot,Temporal real-time knowledge graphs for agents.,28845,2910,443,Python,Apache-2.0,False,2024-08-08T22:08:30Z,2026-07-17T17:52:33Z,2026-07-17T08:42:34Z,main,False,False,10000,True,False
topoteretes/cognee,https://github.com/topoteretes/cognee,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,knowledge-graph,evaluate,Self-hosted knowledge-graph memory platform.,27983,2677,623,Python,Apache-2.0,False,2023-08-16T16:16:33Z,2026-07-17T19:08:01Z,2026-07-17T19:24:09Z,main,False,False,10000,True,False
vectorize-io/hindsight,https://github.com/vectorize-io/hindsight,Hindsight: Agent Memory That  Learns,memory,evaluate,Agent memory with learning and consolidation.,18517,1140,168,Python,MIT,False,2025-10-30T11:49:48Z,2026-07-17T19:06:38Z,2026-07-17T19:05:50Z,main,False,False,10000,True,False
MemTensor/MemOS,https://github.com/MemTensor/MemOS,"Self-evolving memory OS for LLM & AI Agents: ultra-persistent memory, hybrid-retrieval, and cross-task skill reuse, with 35.24% token savings",memory,watch,Self-evolving memory OS and cross-task skill reuse.,10252,935,79,TypeScript,Apache-2.0,False,2025-07-06T09:51:27Z,2026-07-17T15:29:11Z,2026-07-17T07:22:31Z,main,False,False,10000,True,False
memvid/memvid,https://github.com/memvid/memvid,"Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.",rust-runtime,evaluate,Rust single-file serverless agent memory.,15975,1383,21,Rust,Apache-2.0,False,2025-05-27T16:01:08Z,2026-07-17T19:28:57Z,2026-07-14T14:39:07Z,main,False,False,10000,True,False
volcengine/OpenViking,https://github.com/volcengine/OpenViking,"Self-evolving Context Database for AI Agents. Unify Agent Memory, Knowledge RAG and Skills.",memory,watch,"Context database unifying memory, RAG and skills.",26887,2109,352,Python,AGPL-3.0,False,2026-01-05T07:11:17Z,2026-07-17T17:14:42Z,2026-07-17T16:25:30Z,main,False,False,10000,True,False
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,"[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""",knowledge-graph,evaluate,Simple graph-oriented RAG.,37768,5317,221,Python,MIT,False,2024-10-02T11:57:54Z,2026-07-17T18:53:13Z,2026-07-17T10:37:04Z,main,False,False,10000,True,False
microsoft/graphrag,https://github.com/microsoft/graphrag,A modular graph-based Retrieval-Augmented Generation (RAG) system,knowledge-graph,evaluate,Graph-based RAG reference architecture.,34485,3645,69,Python,MIT,False,2024-03-27T17:57:52Z,2026-07-17T18:46:50Z,2026-07-17T18:50:25Z,main,False,False,10000,True,False
qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",rust-runtime,adopt-adjacent,Rust vector database for retrieval workloads.,33354,2497,625,Rust,Apache-2.0,False,2020-05-30T21:37:01Z,2026-07-17T18:59:16Z,2026-07-17T18:09:51Z,master,False,False,10000,True,False
milvus-io/milvus,https://github.com/milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",vector-database,benchmark,Large-scale cloud-native vector database.,45258,4126,1118,Go,Apache-2.0,False,2019-09-16T06:43:43Z,2026-07-17T18:50:18Z,2026-07-17T18:30:40Z,master,False,False,10000,True,False
weaviate/weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",vector-database,benchmark,Object-plus-vector database with hybrid search.,16606,1350,620,Go,BSD-3-Clause,False,2016-03-30T15:03:17Z,2026-07-17T14:56:30Z,2026-07-17T19:19:24Z,main,False,False,10000,True,False
infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,rag-platform,evaluate,"Document ingestion, RAG and agent context layer.",85296,9964,2155,Go,Apache-2.0,False,2023-12-12T06:13:13Z,2026-07-17T17:47:27Z,2026-07-17T17:31:27Z,main,False,False,10000,True,False
VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,"📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG",rag-platform,evaluate,Reasoning-based vectorless document index.,34080,2977,140,Python,MIT,False,2025-04-01T10:53:54Z,2026-07-17T17:09:52Z,2026-07-17T10:52:56Z,main,False,False,10000,True,False
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,Stop renting your intelligence. Own it with AnythingLLM. Everything you need for a powerful local-first agent experience,rag-platform,watch,Local-first agent and knowledge workspace.,63449,6934,320,JavaScript,MIT,False,2023-06-04T02:29:14Z,2026-07-17T19:08:11Z,2026-07-16T00:48:40Z,master,False,False,10000,True,False
khoj-ai/khoj,https://github.com/khoj-ai/khoj,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",memory,evaluate,"Self-hosted second brain, agents and scheduled automation.",35835,2315,120,Python,AGPL-3.0,False,2021-08-16T01:48:44Z,2026-07-17T19:27:10Z,2026-06-24T21:17:20Z,master,False,False,10000,True,False
onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,Open Source AI Platform - AI Chat with advanced features that works with every LLM,rag-platform,evaluate,Enterprise search and AI platform.,30948,4254,503,Python,NOASSERTION,True,2023-04-27T06:04:01Z,2026-07-17T18:44:47Z,2026-07-17T19:33:45Z,main,False,False,10000,True,False
promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,"Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.",eval-security,adopt-core,"Prompt, agent and RAG evaluation plus red teaming.",23365,2090,421,TypeScript,MIT,False,2023-04-28T15:48:49Z,2026-07-17T18:04:05Z,2026-07-17T19:23:29Z,main,False,False,10000,True,False
comet-ml/opik,https://github.com/comet-ml/opik,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.",observability,evaluate,"Tracing, evaluation and production monitoring for agent workflows.",20655,1615,155,Python,Apache-2.0,False,2023-05-10T12:57:13Z,2026-07-17T18:51:34Z,2026-07-17T16:59:11Z,main,False,False,10000,True,False
langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source AI engineering platform: LLM evals, observability, metrics, prompt management, playground, datasets. Integrates with OpenTelemetry, LangChain, OpenAI SDK, LiteLLM, and more. 🍊YC W23",observability,evaluate,"Open LLM engineering, traces, prompts and evaluations.",31343,3309,705,TypeScript,NOASSERTION,True,2023-05-18T17:47:09Z,2026-07-17T19:22:34Z,2026-07-17T18:04:20Z,main,False,False,10000,True,False
confident-ai/deepeval,https://github.com/confident-ai/deepeval,The LLM Evaluation Framework,eval-security,evaluate,LLM and agent evaluation framework.,16918,1668,367,Python,Apache-2.0,False,2023-08-10T05:35:04Z,2026-07-17T19:33:08Z,2026-07-16T14:07:42Z,main,False,False,10000,True,False
vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas,Supercharge Your LLM Application Evaluations 🚀,eval-security,evaluate,RAG and agent evaluation toolkit.,14885,1567,508,Python,Apache-2.0,False,2023-05-08T17:48:04Z,2026-07-17T16:07:59Z,2026-02-24T07:47:19Z,main,False,False,10000,True,False
SigNoz/signoz,https://github.com/SigNoz/signoz,"SigNoz is an open-source, OpenTelemetry-native observability platform for your team and their AI agents. Get logs, metrics, and traces in one tool with features like APM, distributed tracing, log management, infra monitoring, etc. Combined with SigNoz MCP and a native AI teammate (in SigNoz Cloud) it helps you build more resilient apps.",observability,evaluate,OpenTelemetry-native full-stack observability.,30329,2343,1521,TypeScript,NOASSERTION,True,2021-01-03T12:44:36Z,2026-07-17T19:27:48Z,2026-07-17T18:24:30Z,main,False,False,10000,True,False
openobserve/openobserve,https://github.com/openobserve/openobserve,"Open source observability platform for logs, metrics, traces, frontend monitoring, pipelines and LLM observability. A sophisticated, simple and highly performant alternative to Datadog, Splunk, and Elasticsearch with 140x lower storage costs and single binary deployment.",observability,evaluate,"High-performance logs, metrics, traces and LLM observability.",20199,939,581,TypeScript,AGPL-3.0,False,2023-02-02T03:29:51Z,2026-07-17T19:28:49Z,2026-07-17T19:25:12Z,main,False,False,10000,True,False
raga-ai-hub/RagaAI-Catalyst,https://github.com/raga-ai-hub/RagaAI-Catalyst,"Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view",observability,watch,"Agent tracing, evaluation and monitoring.",16145,3575,34,Python,Apache-2.0,False,2024-08-26T12:13:15Z,2026-07-17T18:26:39Z,2026-02-11T14:43:33Z,main,False,False,10000,True,False
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,AI Observability & Evaluation,observability,evaluate,Open tracing and evaluation platform for AI and agent systems.,10600,993,750,Python,NOASSERTION,True,2022-11-09T23:44:35Z,2026-07-17T16:37:53Z,2026-07-17T19:23:42Z,main,False,False,10000,True,False
microsoft/agent-lightning,https://github.com/microsoft/agent-lightning,The absolute trainer to light up AI agents.,agent-training,evaluate,Agent-agnostic reinforcement-learning and training framework.,17395,1526,152,Python,MIT,False,2025-06-18T07:28:45Z,2026-07-17T03:34:03Z,2026-07-16T03:26:45Z,main,False,False,10000,True,False
verl-project/verl,https://github.com/verl-project/verl,verl/HybridFlow: A Flexible and Efficient RL Post-Training Framework,agent-training,benchmark,Scalable reinforcement-learning post-training infrastructure.,22517,4231,1419,Python,Apache-2.0,False,2024-10-31T06:11:15Z,2026-07-17T17:04:36Z,2026-07-17T09:00:27Z,main,False,False,10000,True,False
huggingface/trl,https://github.com/huggingface/trl,Train transformer language models with reinforcement learning.,agent-training,benchmark,Widely used transformer reinforcement-learning toolkit.,18862,2848,332,Python,Apache-2.0,False,2020-03-27T10:54:55Z,2026-07-17T18:44:58Z,2026-07-17T16:26:39Z,main,False,False,10000,True,False
NVIDIA/SkillSpector,https://github.com/NVIDIA/SkillSpector,"Security scanner for AI agent skills. Detect vulnerabilities, malicious patterns, and security risks.",eval-security,adopt-adjacent,Security scanner for agent skills.,13348,1092,83,Python,Apache-2.0,False,2026-03-21T00:28:43Z,2026-07-17T19:27:47Z,2026-07-14T23:13:01Z,main,False,False,10000,True,False
NVIDIA/NemoClaw,https://github.com/NVIDIA/NemoClaw,"Run agents like Hermes, LangChain Deep Agents, and OpenClaw more securely inside NVIDIA OpenShell with managed inference",sandbox-security,evaluate,Hardened agent execution patterns in NVIDIA OpenShell.,21816,2948,198,TypeScript,Apache-2.0,False,2026-03-15T17:04:09Z,2026-07-17T19:25:40Z,2026-07-17T19:33:06Z,main,False,False,10000,True,False
opensandbox-group/OpenSandbox,https://github.com/opensandbox-group/OpenSandbox,"Secure, Fast, and Extensible Sandbox runtime for AI agents.",sandbox-security,evaluate,Secure extensible sandbox runtime for agents.,12047,1005,125,Python,Apache-2.0,False,2025-12-17T08:41:09Z,2026-07-17T16:54:58Z,2026-07-17T11:57:56Z,main,False,False,10000,True,False
TencentCloud/CubeSandbox,https://github.com/TencentCloud/CubeSandbox,"Instant, Concurrent, Secure & Lightweight Sandbox for AI Agents.",rust-runtime,evaluate,Rust lightweight concurrent sandbox for agents.,10383,910,182,Rust,NOASSERTION,True,2026-04-10T03:00:31Z,2026-07-17T18:47:56Z,2026-07-17T09:06:31Z,master,False,False,10000,True,False
e2b-dev/E2B,https://github.com/e2b-dev/E2B,"Open-source, secure environment with real-world tools for enterprise-grade agents.",sandbox-security,evaluate,Cloud sandboxes designed for agent code execution.,13018,967,54,Python,Apache-2.0,False,2023-03-04T13:41:18Z,2026-07-17T14:11:56Z,2026-07-17T16:20:20Z,main,False,False,10000,True,False
daytonaio/daytona,https://github.com/daytonaio/daytona,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,sandbox-security,evaluate,Secure ephemeral development and agent execution environments.,72267,5665,444,,NOASSERTION,True,2024-02-06T08:21:20Z,2026-07-17T19:00:06Z,2026-07-09T18:45:58Z,main,False,False,10000,True,False
Infisical/infisical,https://github.com/Infisical/infisical,"Infisical is the open-source platform for secrets, certificates, and privileged access management.",identity-secrets,adopt-adjacent,"Open secrets, certificates and privileged-access management platform; license review required.",28147,2111,655,TypeScript,NOASSERTION,True,2022-08-05T13:50:00Z,2026-07-17T19:21:01Z,2026-07-17T19:31:40Z,main,False,False,10000,True,False
getsops/sops,https://github.com/getsops/sops,Simple and flexible tool for managing secrets,identity-secrets,adopt-adjacent,Encrypted configuration and secret-file management with cloud KMS support.,22526,1060,437,Go,MPL-2.0,False,2015-08-13T22:11:00Z,2026-07-17T15:38:17Z,2026-07-13T20:56:01Z,main,False,False,10000,True,False
casdoor/casdoor,https://github.com/casdoor/casdoor,"An open-source Agent-first Identity and Access Management (IAM) /LLM MCP & agent gateway and auth server with web UI supporting OpenClaw, MCP, OAuth, OIDC, SAML, CAS, LDAP, SCIM, WebAuthn, TOTP, MFA, Face ID, Google Workspace, Azure AD",identity-secrets,evaluate,Agent-first IAM and MCP/LLM gateway with broad identity protocols.,13965,1738,103,Go,Apache-2.0,False,2020-10-22T14:40:03Z,2026-07-17T18:20:13Z,2026-07-17T17:07:35Z,master,False,False,10000,True,False
browser-use/browser-use,https://github.com/browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,browser-computer-use,evaluate,Browser-use framework for agents.,105256,11588,319,Python,MIT,False,2024-10-31T16:00:56Z,2026-07-17T19:33:50Z,2026-07-17T05:32:02Z,main,False,False,10000,True,False
vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,Browser automation CLI for AI agents,rust-runtime,adopt-adjacent,Rust browser automation CLI designed for agents.,38655,2515,592,Rust,Apache-2.0,False,2026-01-11T05:38:15Z,2026-07-17T19:19:21Z,2026-07-16T20:12:15Z,main,False,False,10000,True,False
browserbase/stagehand,https://github.com/browserbase/stagehand,The SDK For Browser Agents,browser-computer-use,evaluate,Browser-agent SDK with reliable action primitives.,23547,1618,271,TypeScript,MIT,False,2024-03-24T19:19:44Z,2026-07-17T18:49:48Z,2026-07-17T18:48:59Z,main,False,False,10000,True,False
apify/crawlee,https://github.com/apify/crawlee,"Crawlee—A web scraping and browser automation library for Node.js to build reliable crawlers. In JavaScript and TypeScript. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Puppeteer, Playwright, Cheerio, JSDOM, and raw HTTP. Both headful and headless mode. With proxy rotation.",browser-computer-use,evaluate,Reliable crawling and browser automation substrate.,24775,1556,172,TypeScript,Apache-2.0,False,2016-08-26T18:35:03Z,2026-07-17T18:35:38Z,2026-07-17T19:26:47Z,master,False,False,10000,True,False
bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,browser-computer-use,evaluate,Multimodal computer-use agent stack.,38073,3825,409,TypeScript,Apache-2.0,False,2025-01-19T09:04:43Z,2026-07-17T17:24:16Z,2026-07-01T03:03:19Z,main,False,False,10000,True,False
simular-ai/Agent-S,https://github.com/simular-ai/Agent-S,Agent S: an open agentic framework that uses computers like a human,browser-computer-use,watch,General computer-use framework.,12029,1410,36,Python,Apache-2.0,False,2024-10-09T15:43:12Z,2026-07-17T16:19:47Z,2026-05-13T07:28:44Z,main,False,False,10000,True,False
browseros-ai/BrowserOS,https://github.com/browseros-ai/BrowserOS,"🌐 The open-source Agentic browser; alternative to ChatGPT Atlas, Perplexity Comet, Dia.",browser-computer-use,watch,Open agentic browser.,12288,1285,49,TypeScript,AGPL-3.0,False,2025-05-18T16:23:54Z,2026-07-17T19:32:30Z,2026-07-17T19:31:45Z,main,False,False,10000,True,False
h4ckf0r0day/obscura,https://github.com/h4ckf0r0day/obscura,The headless browser for AI agents and web scraping,rust-runtime,watch,Rust headless browser for agents and scraping.,19367,1396,21,Rust,Apache-2.0,False,2026-04-13T10:31:41Z,2026-07-17T19:25:04Z,2026-07-16T11:16:47Z,main,False,False,10000,True,False
microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Playwright MCP server,browser-computer-use,adopt-adjacent,Official Playwright MCP server for browser automation.,35206,2925,5,TypeScript,Apache-2.0,False,2025-03-21T17:48:36Z,2026-07-17T18:36:36Z,2026-07-15T01:32:35Z,main,False,False,10000,True,False
microsoft/OmniParser,https://github.com/microsoft/OmniParser,A simple screen parsing tool towards pure vision based GUI agent,browser-computer-use,evaluate,Visual screen parsing for GUI and computer-use agents.,25165,2215,231,Jupyter Notebook,CC-BY-4.0,False,2024-09-20T05:18:18Z,2026-07-17T12:05:02Z,2026-04-13T23:45:39Z,master,False,False,10000,True,False
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",document-ingestion,evaluate,LLM-friendly crawling and structured web extraction.,73079,7502,109,Python,Apache-2.0,False,2024-05-09T09:48:50Z,2026-07-17T19:33:39Z,2026-07-15T08:41:10Z,main,False,False,10000,True,False
Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern,Automate browser based workflows with AI,browser-computer-use,evaluate,AI-driven browser workflow automation with an operator platform.,22478,2100,218,Python,AGPL-3.0,False,2024-02-28T15:45:19Z,2026-07-17T19:30:09Z,2026-07-17T19:29:52Z,main,False,False,10000,True,False
ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.6, GLM-5.1, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",model-runtime,adopt-adjacent,Default local-model runtime and OpenAI-compatible serving.,176329,16998,3465,Go,MIT,False,2023-06-26T19:39:32Z,2026-07-17T19:20:22Z,2026-07-17T19:01:32Z,main,False,False,10000,True,False
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,model-runtime,benchmark,Portable local inference foundation.,120728,20699,1885,C++,MIT,False,2023-03-10T18:58:00Z,2026-07-17T19:21:00Z,2026-07-17T19:02:28Z,master,False,False,10000,True,False
vllm-project/vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,model-runtime,evaluate,High-throughput model serving.,86518,19537,5803,Python,Apache-2.0,False,2023-02-09T11:23:20Z,2026-07-17T19:19:09Z,2026-07-17T19:19:03Z,main,False,False,10000,True,False
BerriAI/litellm,https://github.com/BerriAI/litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",model-gateway,evaluate,"Provider gateway, routing, budgets and OpenAI-compatible proxy.",53874,9855,4031,Python,NOASSERTION,True,2023-07-27T00:09:52Z,2026-07-17T19:29:48Z,2026-07-17T19:33:40Z,litellm_internal_staging,False,False,10000,True,False
Portkey-AI/gateway,https://github.com/Portkey-AI/gateway,"A blazing fast AI Gateway with integrated guardrails. Route to 1,600+ LLMs, 50+ AI Guardrails with 1 fast & friendly API.",model-gateway,evaluate,AI gateway with routing and guardrail integrations.,12458,1209,225,TypeScript,MIT,False,2023-08-23T11:52:47Z,2026-07-17T14:32:58Z,2026-05-25T13:54:51Z,main,False,False,10000,True,False
BoundaryML/baml,https://github.com/BoundaryML/baml,The programming language for agents,rust-runtime,strategic-exception,Rust-backed programming language and type-safe boundary for agent applications even if below threshold.,8564,451,278,Rust,Apache-2.0,False,2023-10-06T18:57:41Z,2026-07-17T19:06:07Z,2026-07-17T19:32:00Z,canary,False,False,10000,False,True
sgl-project/sglang,https://github.com/sgl-project/sglang,SGLang is a high-performance serving framework for large language models and multimodal models.,model-runtime,evaluate,High-performance LLM and multimodal serving.,30413,7230,4350,Python,Apache-2.0,False,2024-01-08T04:15:52Z,2026-07-17T19:00:38Z,2026-07-17T19:20:24Z,main,False,False,10000,True,False
huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training.",model-runtime,reference,"Model definition, training and inference ecosystem.",162689,33912,2464,Python,Apache-2.0,False,2018-10-29T13:56:00Z,2026-07-17T18:16:40Z,2026-07-17T16:52:51Z,main,False,False,10000,True,False
